id,Annotated tweet,,classification,,
526,</e> romney Supporter Wears '<a>Put The White Back In The White House' T-Shirt </a>At Ohio Campaign Event (PHOTO) http://t.co/GbbHLj12 via @HuffPostPol,,_TEST_,,
527,"SOP for many Dems: RT: @TwitchyTeamObama supporter: 'Every car I see with a <a><e>Romney</e> sticker</a>, I key it.' http://t.co/knpIgmWH",,_TEST_,,
528,"Governor <e>Romney</e> to <a>campaign in Virginia tomorrow - stops in Chesapeake, Leesburg",,_TEST_,,
529,I've only ever heard <a>bad things</a> about <e>Romney…</e>,,_TEST_,,
530,@CNN Will<e> Obama</e>get to keep his<a> job </a>or will<e> Romney</e> snatch it.Watch tonite.,,_TEST_,,
531,<a>Hedge Funds take 5 of the top 10 spots</a> as donors to <e>Romney</e> Victory Fund http://t.co/yTFUmK2i,,_TEST_,,
532,Chris Wallace Got My <a>Memo On Six Bogus Studies <e>Romney's</e> Been Touting As Facts http://t.co/mq3Tn3kC,,_TEST_,,
533,Mitt Romney Style (Gangnam Style Parody) http://t.co/qJSptbfH,,_TEST_,,
534,". <e>#Romney's t</e><a>aken $11mil from tobacco, alcohol & gambling co's while <e>Obamas</e> taken $500K. Family values candidate? @stefcutter #debate #obama",,_TEST_,,
535,"Give <e>Romney the <a>liars, </aNO RESPECT.  ...NO RESPECT PERIOD!",,_TEST_,,
536,"Koch Sends Pro-<e>Romney</e><a> Mailing to 45,000 Employees </a>While Stifling Workplace Political Speech (Update)  #WorWat http://t.co/2Vh8Qv6V",,_TEST_,,
537,Romney: The<e> Romney </e><a>campaignâ€™s postmodern approach</a> to policy http://t.co/2hl31LFE,,_TEST_,,
538,@Steven_Berlett:<e> Romney 2012 </e>@current #current2012,,_TEST_,,
539,"Vietnam veteran shouts, â€œFuck you, <E>Romney</E>! You wouldnâ€™t know service if it <A>bit you on your well manicured ass.â€ http://t.co/bzTSS6Cm",,_TEST_,,
540,"OK, now this is starting to look serious ... <e>Romney </e>50%, <e>Obama</e> 46% Among <a>Likely Voter</a>s http://t.co/pX9uRSW9",,_TEST_,,
541,Honestly <A>can not believe what I saw </A>>while driving today #Mitts #The #Tits #<E>Romney </E>http://t.co/FVRLbtAY,,_TEST_,,
542,<e> Romney</e> has been derided as wooden...first debate showed that he has fire and confidence...I think someone else was wooden...deer in hdlights,,_TEST_,,
543,Comical - the<e> president</e> now whines <e>Romney</e> is a <A>salesman; this from a man who can't speak without a teleprompter.</A> #tcot,,_TEST_,,
544,@KatMcKinley me too! Have you seen the breaking news that <e>Romney</e>><a> got a hair cut before debate</a>??!!?,,_TEST_,,
545,No green M&M's! Contract gives <e>Obama </e><e> Romney </e><a>each a room backstage</a> but w/o goodies-Rock stars would walk out! #debates http://t.co/wU1tnsAv,,_TEST_,,
546,Amazing that today it is an afterthought to have instant access to photos like this. (<e>Romney</e><a> enroute to debate) http://t.co/Ddt7jIgB,,_TEST_,,
547,Daily Kos:<e> Mitt Romney</e>: 'We need to <a>get those jobs back from China</a>' http://t.co/j9uKTcTa@dailykos Mitt Bain Sending NOW Still ProfitsW!Mitt,,_TEST_,,
548,"Mr.<E> Romney</e>, some call you <a>Willard Scissorhands</a>. But that little gay kid deserved it, right?  #CandyCrowleyDebateQuestions",,_TEST_,,
549,<a>5 things to watch for in <e>Obama </e>vs.<e> Romney</e> sequel : http://t.co/VFTfnp3s,,_TEST_,,
550,"I'm lol'n so hard!!!!!! I just unfollowed someone who tweeted '<e>Romney,</e> b a real man & <a>vote 4 Gary Johnson as PRES!'<a> Ok, which planet r u on?",,_TEST_,,
551,Billy Graham site <a>removes Mormon 'cult' reference</a> after <e>Romney </e>meeting â€“ CNN Belief Blog - http://t.co/OQ9IzJ1M Blogs http://t.co/uV2ERZUg,,_TEST_,,
552,What I got out of this is that <e>Romney </e> tryin to make USA a thirdworld country by makin the <a>rich richer and the poor poorer like SUDAN</a>,,_TEST_,,
553,"Pressure on Obama for next <a>debate</a>: <e>Barack Obama </e>and <e> Mitt Romney</e> cram for their next clash on Tuesday, with the US president under pre...",,_TEST_,,
554,"Koch Sends Pro-<e>Romney</e><a> Mailing to 45,000 Employees </a>While Stifling Workplace Political Speech - In These Times - http://t.co/jlDuhhFF",,_TEST_,,
555,<a>Ross Perot endorses</a> <e>Mitt Romney</e>> - Bayoubuzz http://t.co/85vqDy6m,,_TEST_,,
556,"Washington Post Fact Checker Says <e>Romney</e><a> Jobs Plan</a> â€œBait-and-Switchâ€, â€œDoesnâ€™t Add Upâ€ http://t.co/i6HN3NOG via @sharethis",,_TEST_,,
557,A123 Bankruptcy Gives<e> Romney</e><a> New Example of Green â€˜Loser</a>â€™ http://t.co/YJM5XD0M,,_TEST_,,
558,Daily Kos: Dear Mrs. <e>Romney </e>http://t.co/tQ5y9YsL via @dailykos,,_TEST_,,
559,"Mitt Romney Supporter: ""You idiot Paultard, help us get<e> Mitt</e> in office, <a>don't waste your vote</a>."" Ron Paul Supporter: http://t.co/LUokgg1j",,_TEST_,,
560,Everyday Americans reflect on <e>Romney's</e> attempt to <a>hide his real positions</a>: http://t.co/7DOeIp64,,_TEST_,,
561,<e>Romney-Ryan</e> ticket hits <a><e>Obama</e> administration </a>on Ohio made tanks (Video) http://t.co/340kDCHK,,_TEST_,,
562,So <e>Romney's</e> up 13 in a state <e>Obama </e>won in 2008. #Indiana #JustSaying,,_TEST_,,
563,I seen Ryan <e>Romney </e>in so <a>many peoples yard.</a>> Smh..no more food stamps.,,_TEST_,,
564,"If were to actually vote this year, I <a>wouldn't vote </a>for <e>Romney</e>... He's an asshole #nuffsaid âœŒ",,_TEST_,,
565,Polls show <e>Obama</e> is <a>taking the lead</a> over <e>Romney</e> among early voters,,_TEST_,,
566,<e>Obama</e> Campaign Attacks Gallup ~> 2nd Time ~> Gallup Has <e>Romney</e> Ahead ~> More <a>Lawsuits to Follow</a>... ???  http://t.co/FnXzKpDE,,_TEST_,,
567,The Morning Plum: <e>Romney</e>€™s <a> percentâ€™ problem</a> just wonâ€™t go away http://t.co/UVta7vxg,,_TEST_,,
568,"At least he has a <a>jobs plan</a>, can't say that for #<e>Romney</e>  lol â€œ@EveryOneDoesIt_: #FightForJobs #Legalize http://t.co/AE8W8rkpâ€",,_TEST_,,
569,<a>Ohio Now Up for Grabs </a>as <e>Romney </e>Closes the Gap http://t.co/0jgWI9Bt via @po_st,,_TEST_,,
570,"While @<e>BarackObama</e> showed his <a>attack ad against <e>Mitt Romney</e>, it mentioned he<a> went to Harvard Business & </a> Wow, I'm even more impressed",,_TEST_,,
571,Stephen Colbert steps out of character to assess<e> Romney</e> on â€˜<a>Meet the Pressâ€™<a> (VIDEO) | The Ticket -http://t.co/GAn3qoNB via @YahooNews,,_TEST_,,
572,<e>Romney </e>is that nigga,,_TEST_,,
573,"""<e>President <e>> and Mitt Romney</e> have arrived at Hofstra University in Hempstead, NY, for <a>tonight's presidential debate.</a>"" -- CNN",,_TEST_,,
574,"<e> Romney<e>, Obama</e> campaigns concerned about <a>Crowleyâ€™s role as moderator </a>| The Ticket - Yahoo! News http://t.co/Jf1CLNXk via @YahooNews",,_TEST_,,
575,"#ObamaDebateTips Just repeat everything <e>Romney</e> says in a <a>sarcastic</a>, nasally voice.",,_TEST_,,
576,"My <a>advice to <e>Mitt Romney</e>. ""Swing Away!!"" #mitt2012 #debate2012",,_TEST_,,
577,"SPIDER JERUSALEM 2012 â€œ@EFF <e>Obama/Romney </e><a>campaigns data mining personal info of voter</a> ""at a scale nvr b4 imagined."" https://t.co/QLqFFDYgâ€",,_TEST_,,
578,I swear that the <e>Mitt Romney<e> <a>standee over there </a> staring at me.,,_TEST_,,
579,"While <e>Romney & Ryan</e> are themselves in the debates, <e>Obama & Bidden</e> can't <a>afford to be themselves</a>",,_TEST_,,
580,<e>Romney</e><a> adviser dismisses capping bank size</a>: NEW YORK (Reuters) - A top adviser to presidential candidate Mitt Ro... http://t.co/twCWHtXV,,_TEST_,,
581,"<e>Romney</e> can't even name 3 ramen noodle flavors, he don't know the <a>struggle.</a>",,_TEST_,,
582,Poll: <e>Romney</e> Has <a>Large Lead In Rural Swing Counties</a> http://t.co/Ng0Y1dch,,_TEST_,,
583,COMMENT: Join the<a> Point/Counterpoint debate</a> â€“> <e>Obama (http://t.co/eW4XasRU)  vs. <e>romney (http://t.co/91AptEWF)</e>,,_TEST_,,
584,"Lool ""@Shenenehh: <E>Mitt Romney</E> <a>look like the kid</a> who used to remind the teacher about the homework that was due.""",,_TEST_,,
585,@SebOrSam @sarcasticsimba The only reason Iâ€™m voting for Obama is because I hate Romney. I donâ€™t like Obama either. :/,,_TEST_,,
586,"UPI has <e>Romney</e><a> leading by </a>3. Gallup and PPP by 4. Gallup/USA Today in swing states by 5. Whatever the #, it's trending away from <e>Obama.</e>",,_TEST_,,
587,The<e> President (and Romney)</e> will be <a>debating</a> only a few miles from here. Like maybe a 20min drive. Woah. #cool #presidentialdebate #hofstra,,_TEST_,,
588,<e>Obama</e> Revelation of <e>Romney</e> as <a> phony capitalist.</a> http://t.co/A1lhWRnx,,_TEST_,,
589,The Final Presidential Debates:<e> Obama </e>v <e>Romney</e> - RAP NEWS 16: http://t.co/qXYMkr3l #lulz #US | Donate to @JuiceRapNews for more epic content,,_TEST_,,
590,Ann <e>Romney </e>at Etown today... Oh cool. I'm playing basketball instead #rebel,,_TEST_,,
591,<e>Barack Obama </e>vs<e> Mitt Romney</e>. <a>Epic Rap Battles Of History </a>Season 2.: http://t.co/kfo7mkZQ via @youtube,,_TEST_,,
592,<e>Romney's </e>Two Biggest<a> Donors Record Net Worth</a> Gains Before Presidential Debate: Hours before the man they're backing for the White Hou...,,_TEST_,,
593,Now you know why <e>Romney </e>picked him. They one and the same. <a>birds of a feather! Duplicitous liars!</a>,,_TEST_,,
594,@piersmorgan @Burstowl<e> Romney! </e>time to<a> give this Country an enema!</a>,,_TEST_,,
595,I liked a @YouTube video http://t.co/z5Vo7alj <e>Barack Obama </e>vs <e>Mitt Romney.</e><a> Epic Rap Battles Of History</a> Season 2.,,_TEST_,,
596,@WETHEPEOPLETAR @TIMEMoneyland  Saw a cartoon that explained it perfectly. It was a<a> picture of Ben behind a printing press. </a>Vote for  <e>romney</e>,,_TEST_,,
597,How<e> Mitt Romney</e> Will <a>put Walmart in the White House</a> http://t.co/60x6pbnt via @sharethis,,_TEST_,,
598,<e> Barack Obama</e> vs <e>Mitt Romney</e>. <a>Epic Rap Battles Of History</a> Season 2.: http://t.co/2wMNxAsW via @youtube,,_TEST_,,
599,Breaking: <a>Billy Graham Endorses</a><e> Romney</e> Then Scrubs Site Calling Mormonism A 'Cult' http://t.co/5o4zEtLG via @gaycivilrights,,_TEST_,,
600,"Yes, <e> Romney</e>, You CAN Die from<A> Lack of Health Insurance</A>http://t.co/NcbKrrGk",,_TEST_,,
601,Latino Vote Poll Reveals Bad News For <e>Romney </e>In Key Swing States: Wanted:<a> party faithful and the newly converted.</a>.. http://t.co/nlIBfjuD,,_TEST_,,
602,<e>Romney</e><a> draws even with</a><e> Obama:</e> Maybe Mitt Romney's campaign team isn't so bad after all. After months of criticis... http://t.co/UJWCDqfO,,_TEST_,,
603,"Why <e>@MittRomney</e> won't talk to #<a>SENSATA Workers:</a> Mitt will be making $450,000 a week for shipping jobs to #China http://t.co/iRUsZclH",,_TEST_,,
604,The <a>Rematch!!!</a> <e>Obama vs <e>Romney. </e>3hrs 2 go,,_TEST_,,
605,<a> Religious Ohioans warm </a>to<e> Romney. </e>http://t.co/DvmjYIkv,,_TEST_,,
606,RT: @pierre Those who don't like #<e>Obama</e> policies want us to vote for a #<e>Romney</e> ticket that <a>denies the existence of #math </a><-- Amazing,,_TEST_,,
607,<e>Romney</e> campaign <a>responds to Ryan </a>photo op - http://t.co/0jKDPQCX http://t.co/hrqLlnEo,,_TEST_,,
608,<e>Romney</e> Has No Real <a>Jobs Plan</a> http://t.co/DNUvgt3J via @CAPCongress,,_TEST_,,
609,<e> Romney</e> is one of THE worst possible <a>candidates for presidency.</a>>,,_TEST_,,
610,It doesn't make sense to Paul Ryan to discuss <e>Mit Romney's</e><a> tax plan before he takes office</a>.,,_TEST_,,
611,Still <a>Voting</a>> For '<e>Mitt Romney'</e>? ShiteHead4President http://t.co/1wMk6iCA via @youtube,,_TEST_,,
612,"I cringe when I hear the <a>political advertisement speaker saying</a>> ""<e>Mitt Romney</e> is the President we need."" Vote <e>obama</e> on November 6th!",,_TEST_,,
613,This is SIGNIFICANT!! RT â€œ@PollTracker: PA <e>President '12:obama </e> (D) 51.0%<e> Romney</e> (R) 44.0% (Oct. 14 - PPP) http://t.co/VPeeY9JFâ€ #Obama2012,,_TEST_,,
614,"<e>Romney</e>, said last week that he would end the <a>deferred action policy</a> but ""honor the applications already approved under <e>President Obama</e>>"" HUH?",,_TEST_,,
615,I heard a <a>rumor that the new RWNJ conspiracy</a> is the #<a>Sensata</a> was never associated with #<e>Romney<e>. So here's this. http://t.co/lcQUSi5o,,_TEST_,,
616,Either you like it or You're a CUNT! Big Bird Responds to<e> Mitt Romney</e> (NSFW) http://t.co/wDSzylT6,,_TEST_,,
617,<e>Romney</e> caused that earthquake,,_TEST_,,
618,@dminor85 Now if only Ron Paul would do what is<a> right and endorse</a><e> Mitt Romney</e>,,_TEST_,,
619,Oct 14 - <e>Romney </e>Supporter Wears '<a>Put The White Back In The White House</a>' T-Shirt  Ohio Campaign Event: Image: htt... http://t.co/mARiCxHT,,_TEST_,,
620,<a> RISK YOUR LIFE TO SAVE YOUR CHILD</a>- rt <e>Romney </e>voter  fav-<e>obama</e> voter   #ThingsRomneyVotersBelieve  #thingsobamavotersbelieve,,_TEST_,,
621,<a>Romney's English Roots </a>>Surprise Cousins Left Behind <e>#mittromney </e>#England #Lancashire #UK http://t.co/FvErPW3h,,_TEST_,,
622,Yet Another CEO Asks Employees to Vote <E>Romney </e>for<a> Sake of the company</a> (And Their Jobs) http://t.co/QWUQ50z3 via @theblaze,,_TEST_,,
623,"<a> ""completely wrong"" images </a>and its just a bunch of pics of <e>Mitt Romney.</e> Lol",,_TEST_,,
624,@BrindaStar @Ha_mony #<a>Sensata </a>#<e>Romney </e>remember #mittnocchio http://t.co/CmxYQpOw,,_TEST_,,
625,Lots of people<a> leaning toward</a> <e>Romney</e> that voted for<e>Obama</e> 4 years ago.,,_TEST_,,
626,"@LA_WriterChick I know! I watched the Emmys (gag), but when Kimmel tried to get <e>Romney</e> booed a <a>ton of ppl applauded!</a>> I was in shock!",,_TEST_,,
627,TODAY Join @blackenterprise BizReport's @MrShannonLanier 4 @ApolloTheater Pres. <a>Debate</a> Viewing Party! http://t.co/Ylw4kEpy <e>#Romney </e>#<e>Obama</e>,,_TEST_,,
628,@JoeBiden  Why is it that the <a>#Sensata story</a> is not getting that much press? Has the <e>Romney </e>camp being trying 2 keep this under wraps?,,_TEST_,,
629,My unemployed aunt wants me to <a>vote</a> for <e>Obama. </e>Why would that be? #<e>Romney2012</e> #Obama,,_TEST_,,
630,"Captain John Cena, <e>Mitt Romney,</e> Steelers Rookie, and Other<a> Goings On from the Latest Week in Football</a> | Egotastic! http://t.co/JKFtHGyx",,_TEST_,,
631,"<e>Mitt Romney</e> was <a>absent more than year</a>, or 417 days as governor of Massachusetts http://t.co/4rzxC5Wm via @examinercom",,_TEST_,,
632,"POLL: On #Medicare, <e>Romney</e> now trails <A>Generic Republican Who Wants to Destroy the Social Safety </a>Net by 7%",,_TEST_,,
633,"Poll: <E>Obama, </e>><e>Romney </e><a>tied in New Hampshire - CNN (blog) http://t.co/hzyrWksH",,_TEST_,,
634,#<e>Romney</e><a> seems </a>CONFUSED,,_TEST_,,
635,"Ross Perrot, of course, <a>endorced</a> <e>Romney</e>",,_TEST_,,
636,@realDonaldTrump I am hoping <e>Romney </e>will <a>win Ohio!,,_TEST_,,
637,Lol RT @realDonaldTrump: .@<e>MittRomney</e>--if <e>Obama</e> gets wise tonight just ask for his<a> college records & transcripts</a>--he will quiet down quickly,,_TEST_,,
638,I feel like I'm getting ready to <a>watch</a> a football game or something... /:) #presidentialdebate #<e>MittRomney </e><e>#obama</e>,,_TEST_,,
639,"On eve on second debate, Romney on the rise - CBS News: CBC.caOn eve on <A>second debate</a>, <E>Romney</E> on the riseCBS New... http://t.co/3ID3yYrB",,_TEST_,,
640,LOLWUT RT @TexasEHS: @FatFemPinUp Obama does not have<a> things in common</a> like <e>Romney </e>does with average Americans. <e>Obama</e> is out of touch.,,_TEST_,,
641,"Because of a coin toss, <e>Mitt Romney </e>will <a>answer the first question </a>tonight. Goodluck Mr. <e>President</e>",,_TEST_,,
642,<e> Romney's </e>800 Vetoes Shatter His <a>Bipartisan Myth</a> http://t.co/RN3OlJY3 via @prismatic,,_TEST_,,
643,"<e>Romney, </e><e>Obama </e>Release Statements On <a>How To Grow Tech Startups </a>http://t.co/V4mrTVY5 via @TechCrunch",,_TEST_,,
644,"Opinion: <e>Romney</e> Will <a>Win The Second Debate </a>Too: Much like the first debate, GOP presidential contender Mitt Romney... http://t.co/FemUACWo",,_TEST_,,
645,<e>Mitt Romney</e> Narrows Gaps On <a>Likability And Appearing Presidential:</a> Reuters Poll - Huffington Post http://t.co/MZf2GAz1 #Romney,,_TEST_,,
646,@davidaxelrod They call <e>Romney </e>Multiple <a>Choice</a> Mitt in Mass,,_TEST_,,
647, <e>Romney</e> thinks single moms are responsible for gun violence. #NoWords,,_TEST_,,
648, Where were all the <e>Romney</e> supporters tonight? ,,_TEST_,,
649, OK guys I'm done with the <e>Romney</e> Tweets,,_TEST_,,
650, Just sit down <e>Romney</e>.,,_TEST_,,
651," #PDSLive I find it interesting that <e>Romney</e>'s <a>tax plan</a> to help the middle class, includes cutting deductions for the middle class. #WTF?",,_TEST_,,
652, Could someone explain <a>the binder of women meme</a> that Mitt <e>Romney</e> said in the debate? I was at the gym. Didn't see it.,,_TEST_,,
653," Oh, great. Now we're getting <e>Romney</e> <a>promoted posts</a> on Facebook AND Twitter. #SomePeopleReallyDoNotUnderstandSocialMedia",,_TEST_,,
654, When <e>Romney</e> stated he'd eliminate <a>TAXATION ON SAVINGS</a>,,_TEST_,,
655, I did knew that Mitt <e>Romney</e> was <a>millionaire and mormon</a>. What was new was that he's also <a>Mexican and moron</a>. #4M #debate2012 #election2012,,_TEST_,,
656, @PeterBeinart The mostly-unnoticed fact that <e>Romney</e> sounded much <a>more like a traditional Republican</a> tonight may be the sleeper issue,,_TEST_,,
657," al news stories devoted to <e>Romney</e>'s ""<a>Binders full of women</a>"" comment",,_TEST_,,
658, Did <e>Romney</e> ever answer the <a>pay gap question</a>?,,_TEST_,,
659, I still think <e>Romney</e> wants hunger games with <a>immigrants</a> for citizenship.. #Debates,,_TEST_,,
660, @KVII <e>Romney</e> <a>changed minds</a> tonight!,,_TEST_,,
661, What was <e>Romney</e>'s <a>small business</a> again?,,_TEST_,,
662, @JamesShadd <a>Tax</a> code is jacked. It needs reformed. <e>Romney</e>'s taxes are irrelevant to race. Irrelevant.,,_TEST_,,
663, My sister didn't even know what mitt <e>Romney</e> look like -.- wow!!!,,_TEST_,,
664, Pengantar Hukum Bisnis vs <e>Romney</e>-<e>Obama</e> #debates,,_TEST_,,
665," @donnabrazile A lot of people don't know <e>Romney</e>'s <a>records</a> on job creation, deficits, etc..as a governor.",,_TEST_,,
666," whether <e>Romney</e> <a>gives middle class a tax break</a> or not he still will be makin more than them, 20 million a year, that's our dream",,_TEST_,,
667," When the Tigers won the '68 series, George <e>Romney</e> was governor.",,_TEST_,,
668,#<e>romney</e> WTF!!! Is this for real?  http://t.co/bnhrf1k9,,_TEST_,,
669,Finally a website with details of <e>Romney</e>'s tax plan. http://t.co/BzENwzS3,,_TEST_,,
670,Well now we can rest easy. RT Ò@MarkSimoneNY: Ross Perot endorses <e>Romney</e> - http://t.co/sMTVhySrÓ #tcot,,_TEST_,,
671,http://t.co/uebt0jQg is doing real time fact checks on <e>Romney</e> tonight! All can be  part of this! Send the info to all FB &amp; Twitter friends!,,_TEST_,,
672,"in three weeks, economic security moms could be to <e>Romney</e> what national security moms were to Bush.",,_TEST_,,
673,These niggas tryna hold me back me nd <e>romney</e> aint payen no tax r kelly got these hoes in check shittin on yu holy crap,,_TEST_,,
674,"Finally, specific details on the <e>Romney</e> Tax Plan. Interesting. http://t.co/nJu0n5vZ",,_TEST_,,
675,A MUST READ!!!  Will Federal Funds Subsidize Tagg <e>Romney</e>Õs Private Equity Bonanza? http://t.co/YsRPgurw via @nationalmemo,,_TEST_,,
676,"@robdelaney @<e>MittRomney</e> i swear i clicked it, it wasn't quite as quick as <e>MittRomney</e> is. Pretty damn near close though.",,_TEST_,,
677,Dems launch pithy website about the <e>Romney</e> tax plan: http://t.co/A5TTtsh5  #burn  (via @jamieforrest),,_TEST_,,
678,Daily Kos: Stephen Colbert destroys <e>Romney</e>'s tax plan with one simple question http://t.co/z5CKWAj9 via @dailykos,,_TEST_,,
679,Òanildash: details on how <e>Romney</e>'s going to give millionaires a $5 trillion tax cut w/o making the middle class pay: http://t.co/GutUubZBÓ,,_TEST_,,
680,Here are the output results from the national popular vote polling simulations (<e>Romney</e>'s a 55% favorite). http://t.co/CtW8pkUH,,_TEST_,,
681,On Twitter This Am Someone Posted Oprah Endorsed <e>Mitt</e>? Is That A Joke Or Is there Back up for That?,,_TEST_,,
682,"Oy Vey! Billionaire Koch Brothers mail 45,000 employees pro-<e>Romney</e> letters...  http://t.co/HVaGv1Ti",,_TEST_,,
683,.@robdelaney RT if you're hoping your hair looks like <e>Mitt</e>'s in the future.,,_TEST_,,
684,<e>Mitt Romney</e>Õs Winners &amp; Losers http://t.co/p114j5Ha,,_TEST_,,
685,Ò@mediaite: Ross Perot Endorses <e>Mitt Romney</e> For President http://t.co/ZJZdm0ubÓ Interesting...,,_TEST_,,
686,'Friday Night Lights' Creator Accuses <e>Mitt Romney</e> of Plagiarism in Threatening Letter (Exclusive) http://t.co/jZm5HncD,,_TEST_,,
687,Why this comment by <e>Romney</e> isn't used against him more is beyond me.  http://t.co/89S4aq70  (Ann said people won't like the cuts.),,_TEST_,,
688,#<e>Romney</e> #Debate Question: How do you feel about Navy Seal's Mother &amp; Amb's Father asking you to stop politicizing their child's deaths? #P2,,_TEST_,,
689,#HillaryAlsoTookTheBlameFor that woman's death six years after <e>Romney</e> left Bain Capital,,_TEST_,,
690,"<e>Romney</e>: threats 2 countries woulld keep them in line,Banks should make more profits-Banks 2 big 2 fail but we the ppl R 2 big an overhead.",,_TEST_,,
691,@MohnnnnnA lol sheÕs prolly voting for <e>mitt</e>,,_TEST_,,
692,Swing State Polls Back Where They Were Pre-Convention: <e>Mitt Romney</e> has pulled ever-so-slightly ahead in... http://t.co/2h3NpUcj #Atlanta #GA,,_TEST_,,
693,"Ò@DrHubaEvaluator: .@<e>Mitt Romney</e>, Why don't you believe stats?: No Insurance Death Sentence for Some http://t.co/07ugYT7Y @DrJenGunterÓ",,_TEST_,,
694,@DavidCornDC how does <e>Mitt</e> get away with not releasing more tax returns????,,_TEST_,,
695,Hospitals Ditch Formula Samples to Promote Breast-Feeding (<e>Romney</e> criticism near end of story) http://t.co/u8ZjvF9b,,_TEST_,,
696,Lmfao @RobertGBeckel: <e>Mitt</e> cut PBS http://t.co/yvAy4g22,,_TEST_,,
697,<e>Mitt Romney</e> @ TCC &gt;:(,,_TEST_,,
698,Bill Clinton hits <e>Romney</e> on tax cut http://t.co/FQqNOEc7,,_TEST_,,
699,@realjohngreen what will you do/how will you feel if <e>Mitt Romney</e> wins?,,_TEST_,,
700,@GbrlFerraresi lol RT @flyosity: <e>Romney</e> Tax Plan website finally lays out all his tax plan details! http://t.co/hersRCp2,,_TEST_,,
701,RT @davewiner: Details on <e>Mitt Romney</e>'s 5 trillion dollar tax plan.  http://t.co/Tzdv1LBM // I love American politics!,,_TEST_,,
702,Ò@JulianPatterson: *tears* ---&gt; RT @ComplexMag: 21 Rap Lyrics <e>Mitt Romney</e> Can Use in Tonight's Debate http://t.co/FcIg6y4oÓ @TellyBambaataa,,_TEST_,,
703,<e>Romney</e> Ed. Adviser Casts Doubt on Future of NCLB Waivers - Education Week News (blog) http://t.co/wbs4JDlj,,_TEST_,,
704,CHART: Do you pay a higher tax rate than <e>Mitt Romney</e>? (via @upworthy) http://t.co/rcgFfabY,,_TEST_,,
705,For all the details on <e>Mitt Romney</e>'s 5 trillion dollar tax plan visit http://t.co/wJKACkvZ #doit #now!,,_TEST_,,
706,"<e>Romney</e> hits 50%, leads by 4 in PPP/Daily Kos national poll: Widening. Last week, I approvingly... http://t.co/rxlWx2ke #ocra #tcot #tlot",,_TEST_,,
707,<e>Romney</e> camp files suit over military ballots http://t.co/uLgntGvr,,_TEST_,,
708,"HA!!!  Lindsay Lohan Endorses <e>Romney</e>, even though she is NOT registered to Vote!!!  Can You Say #KochHabit!!  #p2  #47percent",,_TEST_,,
709,Clinton hands <e>Romney</e> the bat: have at him! http://t.co/FSvBHPri,,_TEST_,,
710,"Good feedback on the hip-hop song recommendations, y'all. What hip-hop co-sign would we ""not"" be shocked to see <e>Romney</e> get? Excluding Shyne.",,_TEST_,,
711,"Book News: E-Book Refund, <e>Mitt</e>Õs Rewrite:    Pope Benedict XVI has signed a book deal for the third volume in hi... http://t.co/x7X7oPtX",,_TEST_,,
712,Check out this <e>Mitt</e> Event: Unleash Small Business with Scott McNealy #<e>Mitt</e>2012 http://t.co/Jr9LRvrZ #tcot,,_TEST_,,
713, I heard <e>Romney</e> wants to cancel <a>PBS</a>.,,_TEST_,,
714," ASG CEO Arthur Allen Asks <a>Employees</a> to <a>Vote </a>for Mitt <e>Romney</e>, MSNBCâ€™s Chris Hayes Weighs In http://t.co/g0haev83 http://t.co/NlzQguIZ",,_TEST_,,
715," If you're still confused about <e>Romney</e>'s<a> tax plan</e>, go to http://t.co/Y9Igepjp and watch tonights Evening News report from Wyatt Andrews.",,_TEST_,,
716,"<e> Romney</e> won't go on<a> THE VIEW</a>.  Oooooh, he gonna be sharp with Putin.  (or the Brit's if he doesn't tell'em they can't put on an Olympics.)",,_TEST_,,
717, who wants a <e>Romney</e>/Ryan <a>yard sign</a>?,,_TEST_,,
718, <e>Romney</e>: I Want the Supreme Court to Overturn Roe v. Wade  via LifeNews (RSS) http://t.co/nqXR4SMg,,_TEST_,,
719, After <e>Romney</e>'s <a>elected</a> we will remain behind him if and only if he reduces<a> gov't and gov't waste</a>!,,_TEST_,,
720, <e>Romney<e> connections to <a>for-profit colleges</a> http://t.co/7Ar3XDfE,,_TEST_,,
721, Mitt <e>Romney </e>lays out his true positions at past <a>town hall meetings</a>: http://t.co/PpqUbn2Z,,_TEST_,,
722," Fun fact on <e>Romney</e>, mitt is his <a>middle name</a>, his first name is Willard #sexy",,_TEST_,,
723, The<a> Final Word</a> on Mitt <e>Romney</e>'s <e>Tax Plan</e>- Bloomberg http://t.co/MX1BMmWN,,_TEST_,,
724, What Mitt <e>Romney</e> and Barack<e> Obama </e>can learn from <a>Felix Baumgartner's amazing jump</a> http://t.co/wYv3vUAB,,_TEST_,,
725," <e>Obama</e>, <e>Romney</e> teams upend expectations game heading into second<e> debate</e>: http://t.co/THQ66TQb... http://t.co/jQ6So7Ns",,_TEST_,,
726, Mitt <e>Romney</e> buying a bunch of<a> P90x videos</a> from Paul Ryan's Multilevel marketing scheme but being too self-defeating to watch them,,_TEST_,,
727," <a>Electoral math</a> much more daunting for <e>Romney</e> right now. If Obama wins OH, Romney pretty much has to run the table in remaining swing states",,_TEST_,,
728," Sure, <e>Romney</e> Is <a>Lying</a>. So What? http://t.co/Wt5TYqg6 via @motherjones",,_TEST_,,
729," <e>Romney</e> wanna cut holidays, <a>tv shows</a>, and the <a>financial help</a> I get for school but he can't really explain how he will make my life better",,_TEST_,,
