id,Annotated tweet,,classification,,,,,,,
399, #<e>obama</e> <3,,_TEST_,,,,,,,
400," <e>obama</e>: ""Yes",,_TEST_,,,,,,,
401, Looking at <a>Future</a> Can Predict The Present.. Well that's what <e>obama</e> said :/,,_TEST_,,,,,,,
402, If you don't like <e>obama</e> get over it because he will be our president again #getusedtoit,,_TEST_,,,,,,,
403," ""@TheManOfGlass: I love the way <e>obama</e> <a>speaks</a>",,_TEST_,,,,,,,
404, <a>Vote</a> <e>obama</e>,,_TEST_,,,,,,,
405, @AliciaLightsxo Omg who DOESN'T <a>love</a> <e>obama</e>?! Hahaha,,_TEST_,,,,,,,
406, good <a>job</a> <e>obama</e>,,_TEST_,,,,,,,
407, <e>obama</e> was funny as shit lastnight llsss ; that's my <a>nigga</a> :),,_TEST_,,,,,,,
408, I hope <e>obama</e> <a>win</a>!,,_TEST_,,,,,,,
409, I'm really torn about <a>political parties</a>. I've done well under <e>obama</e>,,_TEST_,,,,,,,
410,<a> Vote for</a> <e>obama</e> everybody! #<e>obama</e>WinsDebate,,_TEST_,,,,,,,
411, <e>obama</e> Punches Back - Not a close call. President <e>obama</e> won the second presidential <a>debate</a> as clearly and decisively ... http://t.co/WeY4XNLe,,_TEST_,,,,,,,
412, #Popular #News <e>obama</e> wins the second <a>debate</a>. Too bad itâ€™s not the one that mattered. http://t.co/W1VQKUxY #TFW Doo,,_TEST_,,,,,,,
413,"@Malloryt2014 And you are the ONLY one in this world that thinks so LOL. EVERY poll and pundit, even the ones on Fox news said <e>Obama</e> <a>won</a>",,_TEST_,,,,,,,
414,Good Debate! Pres. <e>Obama</e> <a>did</a> very well! Vote #Obama 2012 He has my vote!!! He can't change that huge mess in 4 yrs. He needs another 4 yrs!,,_TEST_,,,,,,,
415,"<e>Obama</e> took off one glove tonight, next week he needs to take off both gloves. He can do even better. Keep <a>punching</a> when mitt is on the ropes",,_TEST_,,,,,,,
416,I want <e>Obama</e> to be <a>president</a> forever.,,_TEST_,,,,,,,
417,I didnt watch da debate cuz i knw who im <a>voting</a> fo!!!! <e>#Obama</e>,,_TEST_,,,,,,,
418,"Not only did I just donate to <e>Obama,</e> but I pulled myself out of bed and walked downstairs to get my wallet in order to do it. That's <a>love.</a>",,_TEST_,,,,,,,
419,"@AttilasHuntress @Emmy415 Yo, <e>Obama</e> in his mom-jeans is hardly GQ.  BUT I <a>LOVE</a> HIM",,_TEST_,,,,,,,
420,"To be clear, <e>Obama</e> <a>wins</a> by virtue of his performance in the last 30 minutes. Having the last word helped!",,_TEST_,,,,,,,
421,@ttfn2012 President <e>Obama</e> is the proper <a>title..</a> Correct? Thank u.. Get of of my TL..,,_TEST_,,,,,,,
422,"Fact! RT @BuzzFeedBen: Video of the libya exchange, the moment <e>Obama</e> <a>won</a> the debate. http://t.co/VtkHAJq2 http://t.co/DReuTYZ2",,_TEST_,,,,,,,
423,<e>#Obama</e> put a <a>hit</a> on #Romney like the Cleveland Bus driver did ole girl!!! Protect your chin!!!,,_TEST_,,,,,,,
424,@edhenryTV @jamiedupree fact checkers of CNN say <e>Obama</e> was <a>right</a>,,_TEST_,,,,,,,
425,I wonder if Romney's face hurt from those uppercuts <e>Obama</e> was <a>delivering?</a>,,_TEST_,,,,,,,
426,@1DsManWhore good <e>Obama</e> <a>won</a> the debate haha,,_TEST_,,,,,,,
427,i'm a independent...could care the less...so I'm more honest when it comes to debate...according to Fox news <e>reaction..Obama</e> <a>won...</a>,,_TEST_,,,,,,,
428,<e>Obama</e> Attacks Mitt Romney's <a>'47</a> Percent' Comments In Presidential Debate http://t.co/hydfMGND via @HuffPostPol,,_TEST_,,,,,,,
429,"<e>Obama</e> <a>won</a> debate. Yeah, yeah!!!",,_TEST_,,,,,,,
430,<e>Obama</e> <a>wins</a> this debate on facial expressions.,,_TEST_,,,,,,,
431,Am i the only one who thinks that <e>Obama</e> has an extremely attractive <a>smile?</a>,,_TEST_,,,,,,,
432,<e>Obama</e> <a>winned</a> therefore Obama #debate2,,_TEST_,,,,,,,
433,"@KiwiBreeder That's cool, ""more dem than repub, all <e>Obama?""</e> Meredith, what can I say except what I've said before? You <a>never</a> <a>disappoint!</a>",,_TEST_,,,,,,,
434,"The President has laid out a course for the next 4 years and beyond, it is time to get on board and <e>vote</e> for <a>Obama/Biden</a>",,_TEST_,,,,,,,
435,"If <e>Obama</e> does't <a>win,</a> I'm considering moving to another country and coming back in four years. #ijs",,_TEST_,,,,,,,
436,Krauthammer said <e>Obama</e> <a>won</a> on points? Did he give him an extra 20 at the start?,,_TEST_,,,,,,,
437,@Shellzzz_x0 U shld read up on it its not too late As a college <e>student</e> ull probally wana <a>go</a> <a>with</a> <a>Obama.</a>,,_TEST_,,,,,,,
438,"Oh, <e>Obama</e> says he can <a>reduce</a> the <a>deficit.</a> Well, I believe him. Cause he's done such a good job of that the past 4 years. You know. #eyeroll",,_TEST_,,,,,,,
439,@BBCBreaking President <e>Obama</e> pretty real and <a>performed</a> much better in this second debate,,_TEST_,,,,,,,
440,"I hope <e>Obama</e> doesn't win the next Presidential Election, because then he can focus on his <a>singing</a> career. He's got some soul. #Politics2012",,_TEST_,,,,,,,
441,"@RickZieglowsky - I agree that <e>Obama</e> was exponentially <a>better</a> tonight, which may cause folks to declare him the winner. Make sense?",,_TEST_,,,,,,,
442,<e>Obama</e> tells you <a>how</a> it is straight,,_TEST_,,,,,,,
443,"<e>Obama</e> <a>better</a> than last time, but again, @MittRomney wins. Good night. #debate If your name is @realDonaldTrump then plz #stfu #SCRNC #HCRNC",,_TEST_,,,,,,,
444,<e>Obama</e> <a>all</a> <a>the</a> <a>way!</a>,,_TEST_,,,,,,,
445,"@TheDemocrats Great job Mr President! No one should think its easy, nice finishes last  stay tough. <e>We</e> need to <a>re-elect</a> Obama.",,_TEST_,,,,,,,
446,<e>I</e> am proud to say I will <a>vote</a> for <a>Obama...</a> It took Bush 4 years to screw us up why not give Obama 4 more to fix it.... #TEAMOBAMA,,_TEST_,,,,,,,
447,Great <a>debate</a> for <e>Obama</e> tonight. They were equally hilarious though..,,_TEST_,,,,,,,
448,"@murph194: Dear <e>Obama,</e> Please <a>win</a> the election. Love, -Canada #debates hahahaha!",,_TEST_,,,,,,,
449,"<e>Obama</e> was <a>clear,</a> concise, and seemed to be very on top of facts.,. Obama was confident and very in charge. Obama won by a wide margin",,_TEST_,,,,,,,
450,Romney opened up the <a>47%</a> issue and he got buried by <e>Obama.</e> Big mistake.,,_TEST_,,,,,,,
451,I am so happy that all the <e>people</e> I follow are <a>for</a> <a>Obama.</a> #teamobama,,_TEST_,,,,,,,
452,"<e>Obama</e> came back and <a>stated</a> the <a>facts,</a> unlike Romney the chameleon who can change his ""position"" depending upon the ... http://t.co/dbvlvUIE",,_TEST_,,,,,,,
453,"<e>Romney's</e> generic <a>answer</a> to every question is ""I won't do what Obama did""..so what exactly would you do Mitt? ""Just trust me""  Righhhhhttttt.",,_TEST_,,,,,,,
454,@seanhannity no matter how much you spins and how much Fox News distorted it was a clear <e>Obama</e> <a>victory</a> tonight and November 6,,_TEST_,,,,,,,
455,I don't think <e>Obama</e> is afraid of china I think he's <a>smart.</a> Y'all doNt want no pressure with china .THEY GOT SPACESHIPS OVER THERE 🈯🉐🈳,,_TEST_,,,,,,,
456,#Debate <e>#Obama</e> looked a lot <a>stronger</a> in the debate # Romney. He needed to be tougher and he was.,,_TEST_,,,,,,,
457,#2012debate I'm so <e>proud</e> of our President <a>Obama!</a> Good night Twitter world!,,_TEST_,,,,,,,
458,"@EvaLongoria well my inference is that <e>Obama</e> did <a>good,</a> Romney was kinds shaky though",,_TEST_,,,,,,,
459,@dpcazares Exactly. Someone got a little <a>whipping</a> and it wasn't <e>Obama.</e>,,_TEST_,,,,,,,
460,"Based on the informal poll I just did of the people I follow on Twitter, <e>Obama</e> just <a>massacred</a> Romney. #debate2012",,_TEST_,,,,,,,
461,Well my Commander in chief did us proud tonight by taking this debate Go <e>Obama</e> 4 more <a>years</a>,,_TEST_,,,,,,,
462,<e>Obama</e> claims <a>victory</a> http://t.co/8xpwbIUB,,_TEST_,,,,,,,
463,@EvaLongoria <e>#PresidentObama</e> <a>won!</a> No doubt...unless you are delusional. #Romney,,_TEST_,,,,,,,
464,I already know <e>Obama</e> gone <a>win</a> .,,_TEST_,,,,,,,
465,<e>Obama</e> <a>rocks</a> . Well done,,_TEST_,,,,,,,
466,@seanhannity <e>Romney</e> had <a>hard</a> time putting together a good exchange with Obama. He made his point but the finger pointing clouded the issue,,_TEST_,,,,,,,
467,<e>I'm</e> <a>voting</a> <a>Obama</a> strictly because of race...,,_TEST_,,,,,,,
468,"<e>Obama</e> goes on <a>attack</a> against Romney in debate rematch: HEMPSTEAD, New York (Reuters) - President Barack Obama an... http://t.co/IBHrP21f",,_TEST_,,,,,,,
469,So first debate Romney...and I GUESS <e>Obama</e> <a>won</a> tonight's debate. We have never been in such a desperate need of a Twerk-off,,_TEST_,,,,,,,
470,<e>Obama</e> officially <a>won</a> the debate. 👌,,_TEST_,,,,,,,
471,Looks like <e>Obama</e> will be <a>re-elected</a> for... http://t.co/mg1ZCini,,_TEST_,,,,,,,
472,"President <e>Obama</e> came back strong. CNN official debate poll: Obama <a>46%,</a> Romney 39%.",,_TEST_,,,,,,,
473,<e>Obama</e> is <a>funny</a>,,_TEST_,,,,,,,
474,"Yeah, <e>#Obama</e> better have <a>won.</a> -_-",,_TEST_,,,,,,,
475,#Obama2012 good luck mr. <e>Obama;</e> hopefully the speaking tour racket for former presidents is still going <a>strong</a>,,_TEST_,,,,,,,
476,"#debates <e>Obama</e> pension worst line of the night, Obama <a>smart</a> a$$",,_TEST_,,,,,,,
477,@gofind2000man lol idk it depends on what u believe. I say <e>Obama</e> won because I don't think the <a>economy</a> is his fault.,,_TEST_,,,,,,,
478,<a>Team</a> <e>Obama</e> !🇺🇸,,_TEST_,,,,,,,
479,#GOP2012 shove this down your throat. <e>Obama</e> <a>wins</a> among registered voters tonight! @BarackObama @whitehouse  http://t.co/oF9k3kmV,,_TEST_,,,,,,,
480,"My TimeLine looking like : ""Obama <e>Obama</e> Obama <a>F**k</a> <a>Romney</a> Obama Obama"" & some hoe talkin bout she lonely�?",,_TEST_,,,,,,,
481,President <e>Obama</e> <a>won</a> the debate tonight. Mitt Romney was exposed by the President and the moderator for being a liar. #Obama2012,,_TEST_,,,,,,,
482,<e>Obama</e> was on <a>fire</a> tonight #FourMoreYears,,_TEST_,,,,,,,
483,Everybody I know is <a>voting</a> for <e>Obama</e>,,_TEST_,,,,,,,
484,"<e>Obama</e> have Teenagers watching the ""Presidential Debate "" ! He's the first President to do that! That's what you call  making <a>CHANGES</a> !",,_TEST_,,,,,,,
485,Tonight's debate makes me proud I <a>support</a> President <e>Obama.</e> #Debate #ObamaBiden2012,,_TEST_,,,,,,,
486,this night keeps getting better first <e>Obama</e> <a>wins</a> the debate 2cnd #yankees loose. Free kittens for all!,,_TEST_,,,,,,,
487,"The winner of the Scholastic Student Vote is <e>Obama,</e> with <a>51</a> percent, Romney, received 45 percent of the vote",,_TEST_,,,,,,,
488,@Brown_J_D Freedom is not free http://t.co/QmGPA8ix Mitt & Ryan need your support to take down Barack <e>Obama</e> and <a>win</a> in November!,,_TEST_,,,,,,,
489,First President <e>Obama.</e>  Now the Detroit Tigers!  Two <a>victories</a> in one night!,,_TEST_,,,,,,,
490,<e>Obama</e> got <a>owned</a> again...,,_TEST_,,,,,,,
491,Poll numbers just came out. <e>Obama</e> <a>beat</a> that ass baby!!!,,_TEST_,,,,,,,
492,<e>Obama</e> clearly <a>won</a> that debate,,_TEST_,,,,,,,
493,@RyanSeacrest need u ask my president <e>Obama</e> clearly <a>slapped</a> the old Guy silly,,_TEST_,,,,,,,
494,"God, I love Joe! :) RT @JoeNBC: Romney <a>wins</a> the 1st debate. <e>Obama</e> wins tonight by a closer margin.  The Thrilla in Boca may decide it all.",,_TEST_,,,,,,,
495,<e>Obama</e> <a>Attacks</a> Mitt Romney's '47 Percent' Comments In Presidential Debate: President Barack Obama waited until his final exchange to a...,,_TEST_,,,,,,,
496,"They just said <e>Obama</e> <a>won</a> today, and I agree.",,_TEST_,,,,,,,
497,Oh yeah the polls showing <e>Obama</e> <a>won</a> the debate. Oh yeah truth baby!,,_TEST_,,,,,,,
498,<e>#Obama</e> <a>dominated</a>,,_TEST_,,,,,,,
499,"@piersmorgan although <e>#Obama</e> came as cold tonight, he looked & sounded really <a>confident</a> this time. Fact checker helped. Ice cream for Candy!",,_TEST_,,,,,,,
500,"<e>Obama</e> destroying Romney in every post-debate poll. Consensus is Obama destroyed Romney, will easily <a>win</a> election. #CreatingMyOwnNarrative",,_TEST_,,,,,,,
501,"<a>Obama</a> is my guy and Fox News is trying to spin this for their guy. Of course, <e>I'm</e> <a>voting</a> for President Obama 2012!",,_TEST_,,,,,,,
502,"On reflection, I'd say <e>Obama</e> <a>cleaned</a> Romney's Rolex.",,_TEST_,,,,,,,
503,"<e>He's</e> just being <a>honest!!</a> #livetv RT @Stranahan: Guy live on Fox just said Obama has been ""bullshitting "" the public. Live TV. Love it.",,_TEST_,,,,,,,
504,@Esquared92 ...we prob the only two <e>Obama</e> <a>supporters</a> lol,,_TEST_,,,,,,,
505,Pretty evident <e>Obama</e> was the clear <a>winner</a> of tonight's debate. Can't believe people are actually arguing differently.,,_TEST_,,,,,,,
506,<e>Obama</e> <a>rebuts</a> Romney on Libya http://t.co/pPigB4dY,,_TEST_,,,,,,,
507,yea <e>#Obama</e> <a>won</a> that shit #ismell 4 more years #niggasforobama,,_TEST_,,,,,,,
508,"Couldn't have been a clearer <a>winner-on</a> policies, on demeanor, and, it turns out, on command of basic facts-great night for <e>Obama</e> #TeamBarack",,_TEST_,,,,,,,
509,@RebeccaCaine <e>Obama.</e> <a>No</a> <a>question.</a>,,_TEST_,,,,,,,
510,@msnbc <e>Obama</e> done <a>good</a> #Dorritos,,_TEST_,,,,,,,
511,After tonight more people will realize <e>Obama</e> is <a>full</a> of it,,_TEST_,,,,,,,
512," #<e>Obama</e>In30seconds: A strong man stands up for himself"" a stronger man stands up for others. Pres <e>Obama</e> stands with the world's #CHILDREN",,_TEST_,,,,,,,
513," <e>Obama</e> all day""",,_TEST_,,,,,,,
514," <a>Liberty</a> and <a>justice</a> #forall #<e>Obama</e> 2012. http://t.co/yGk1hPl0""",,_TEST_,,,,,,,
515," If <e>Obama</e> doesn't get re-elected"" I'll be upset",,_TEST_,,,,,,,
516," for the people saying <e>Obama</e> has't <a>helped</a>...look at the country's stats back in 07 and at the current stats and I dare you to still say that""",,_TEST_,,,,,,,
517," <e>Obama</e> campaign promises he'll be 'energised' in next <a>presidential debate</a> - The Guardian: The Guardian<e>Obama</e> campa... http://t.co/jVKI0jIn""",,_TEST_,,,,,,,
518," I just volunteered to help with the <e>Obama</e> <a>campaign</a>""",,_TEST_,,,,,,,
519," Confident that in tomorrow's debate <e>Obama</e> will <a>lay out his plans</a> for ensuring America continues to go #Forward.  Town Hall format suits him.""",,_TEST_,,,,,,,
520," still kinda proud that my crazy old kentucky grandma <a>voted</a> for <e>Obama</e> #southernDemocrat4Lyfe she doesn't <a>trust rich people</a> #sageWisdom""",,_TEST_,,,,,,,
521," Giuliani: CNN's Soledad O'Brien 'defending' <e>Obama</e> http://t.co/Vqm7do7X #tcot #tlot #vrwc""",,_TEST_,,,,,,,
522," Watching CNN the <e>first lady</e> is so persuasive.. watching her makes me want to became an American citizen and vote for <e>Obama</e> lol""",,_TEST_,,,,,,,
523," @michelelfrost @RBPundit After <e>Obama</e>'s re elected:)"" the permits will be granted. Pipeline built. #kumbayaandpizza",,_TEST_,,,,,,,
524," I'm sure MSNBC said that <e>Obama</e> has improved the <a>economy</a> too! #impossiblefeats @dmataconis #Headdesk http://t.co/pjjB978U""",,_TEST_,,,,,,,
525," #SomethingIAlwaysWantedToDo Meet <e>Obama</e> <3 :)""",,_TEST_,,,,,,,
526," @joshuabigger @USRealityCheck And while looking down at notes didn't help"" <e>Obama</e> is a RHYTHM <a>speaker</a> like Martin Luther King or Hitler.",,_TEST_,,,,,,,
527," Just saw an <e>Obama</e> <a>commercial</a> narrated by <e>Morgan Freeman</e>. They both got exponentially more awesome. #goodmove #<e>Obama</e>2012""",,_TEST_,,,,,,,
528," The <a>coal industry</a> would be in decline even without <e>Obama</e>ƒ??s policies http://t.co/rTqIDSkw""",,_TEST_,,,,,,,
529," Michelle <e>Obama</e> Says President <e>Obama</e> Saved The <a>Economy</a> From """"The Brink Of Collapse"""": With less than a month until... http://t.co/lGdOCTos""",,_TEST_,,,,,,,
530," @rumblindurango Nope but it was on his watch.  The info was there and he didn't act.  Yet you all are very quick to jump on <e>Obama</e> over <a>Libya</a>""",,_TEST_,,,,,,,
531," @RollingStone now isn't the time for him to be talking about celebrities. I'm all for <e>Obama</e> but with the election I would be focused on that""",,_TEST_,,,,,,,
532," #Things<e>Obama</e>VotersBelieve that <e>Obama</e> <a>killed Bin Laden</a>.""",,_TEST_,,,,,,,
533," RECORD>Think <e>Obama</e>'s Done Nothing? Here Are More Than 200 First Term <a>Accomplishments</a>! With Citations! (The PCTC Blog ) http://t.co/ktdFGg9Q""",,_TEST_,,,,,,,
534," Apology for <e>Obama</e>-to-Kenya Comment http://t.co/oHpNn1pp #Politics #news #hot #business""",,_TEST_,,,,,,,
535," @Barack<e>Obama</e> Vote <e>Obama</e>! It's really the best choice!!!""",,_TEST_,,,,,,,
536," http://t.co/SQXnrQF8 - <e>Rapper Snoop Dogg</e> Donates Half of His Sacred ƒ??Shizzleƒ?? to <e>Obama</e> Campaign http://t.co/lPIf3Qgd""",,_TEST_,,,,,,,
537," Just volunteered myself for a Saturday morning to help the Raleigh <e>Obama</e> Campaign! I want my president to be reelected!!""",,_TEST_,,,,,,,
538," @Jake_Berrena -_- <e>Obama</e> is the best person in the world other than <e>Kanye West</e>..""",,_TEST_,,,,,,,
539," I'm watching 2016: <e>Obama</e>'s America http://t.co/q9HtJjbv #GetGlue #2016""",,_TEST_,,,,,,,
540," I just made a donation today to support President <e>Obama</e>. How about you? http://t.co/cTFYf0FN""",,_TEST_,,,,,,,
541," 2016: <e>Obama</e>'s America - Trailer 1...A must see <a>documentary</a>.  http://t.co/rGpnnEXJ""",,_TEST_,,,,,,,
542," Thomas Sowell predicts race riots if <e>Obama</e> loses: http://t.co/gOtEwJrj #BringItOnPunks""",,_TEST_,,,,,,,
543," Umm"""" the DC """"opportunity"""" <a>scholarship program</a> was widely considered to be a failure and a joke. <e>Obama</e> was right to oppose it.""",,_TEST_,,,,,,,
544," <e>Obama</e> is God #Things<e>Obama</e>VotersBelieve""",,_TEST_,,,,,,,
545," If <e>Jordan Peele</e> was actually <e>Obama</e>"" I might actually <a>vote for</a> him.",,_TEST_,,,,,,,
546," """"@BlackBiillGates: Yea I'm voting for <e>Obama</e>"""" What's up!""""""",,_TEST_,,,,,,,
547," I love to see <e>Obama</e> do his <a>thannng</a>""",,_TEST_,,,,,,,
548," It's says veterans for <e>Obama</e> yeahh!! 2nd Term! http://t.co/MPsEUnGr""",,_TEST_,,,,,,,
549," @JaredLeto Thanks for standing up for my <a>freedoms</a>"" as a woman and a human being. It means the world to me. <3 <e>Obama</e> 2012!",,_TEST_,,,,,,,
550," I am impressed"" I stand as a (aged) cheerleader trumpeting the <e>Obama</e> children for NOT being self-serving children  http://t.co/94R92B8A",,_TEST_,,,,,,,
551, and now all the Rightists can do is point the finger and say that <e>Obama</e> didn't do anything.                           ,,_TEST_,,,,,,,
552, He sure did! :) RT @BarackObama: The reviews are in: <e>president</e> <e>Obama</e> won last night‰Ûªs debate. http://t.co/ail7NC9T #ObamaWinsDebate                           ,,_TEST_,,,,,,,
553, Debate coach: <e>Obama</e> stellar this time: <e>president</e> Obama's Ambien finally wore off  and thus he began the second p... http://t.co/k3o1oD1f                  ,,_TEST_,,,,,,,
554, James Lipton: I believe <e>Obama</e> won <a>debate</a>. Last question so thoroughly mastered by POTUS; debate ended on high  strong note for Obama team.                     ,,_TEST_,,,,,,,
555, Vote For <e>Obama</e> OR ELSE!!!! http://t.co/OolwDTry                           ,,_TEST_,,,,,,,
556, My Republicunt cubemate is fuming mad that <e>president</e> <e>Obama</e> won the <a>debate</a>. I am loving it!                           ,,_TEST_,,,,,,,
557, åÀYou are now a #<a>foreign_policy</a> expert? RT @SteveMontenegro Undoubtably the media is protecting Pres <e>Obama</e> on #Libya.                           ,,_TEST_,,,,,,,
558, Intense <e>Obama</e> Reignites Democratic Support http://t.co/AUkAVoty #ABC #News #AN247                           ,,_TEST_,,,,,,,
559," ""Obama regains the initiative to win second <a>presidential debate</a>"" on http://t.co/7FJXqcQI                           ",,_TEST_,,,,,,,
560, Took you long enough. Lol #bumpersticker #teamobama #Obama #4moreyears  http://t.co/8QhorI6j                           ,,_TEST_,,,,,,,
561," ""Only two <e>president</e>s have reduced the deficit this much   this quickly: Bill Clinton and <e>Barack Obama</e>."" http://t.co/PdCDHd8U",,_TEST_,,,,,,,
562, I really want to meet <e>Obama</e>  he has such strong <a>views</a>! #Feminist #Feminism                   ,,_TEST_,,,,,,,
563, @tomcolicchio Agreed. I scored it at 7 out of 10 topics won for Obama                           ,,_TEST_,,,,,,,
564, Says all you need to know...RT @NatShupe: Honey Boo Boo endorses<e>Obama</e>  along w/ other celebrities (cont) http://t.co/3DMoqzzB,,_TEST_,,,,,,,
565, <e>Obama</e> Wins <a>Debate</a> Without Doubt. Congrats Mr. <e>president</e>. http://t.co/UcE8WBZm,,_TEST_,,,,,,,
566, I side 83% with <e>Barack Obama</e>... #iSideWith åÇ Kind of surprised  not gonna lie. http://t.co/wHSjkKtf,,_TEST_,,,,,,,
567, <e>Obama</e> rally. Can't wait to hear him speak! http://t.co/sLmzgjE7                           ,,_TEST_,,,,,,,
568, <e>Obama</e> has my VOTE!                           ,,_TEST_,,,,,,,
569, <e>Obama</e>'s Remarks on <a>Libya</a> Reveal So Muchhttp://t.co/KnTSroNd                           ,,_TEST_,,,,,,,
570, Listen up: ‰ÛÏBarack <e>Obama</e> made me proud‰Û:  After <e>president</e> <e>Obama</e> stepped off the stage at last night's debate  ... http://t.co/nBofORCS                        ,,_TEST_,,,,,,,
571, Anybody who‰Ûªs wondering whether a second term could be better than the first can look at Obama‰Ûªs second debate and take heart. @gailcollins                           ,,_TEST_,,,,,,,
572, News: Hip Hop Heavyweights Support <e>Obama</e> http://t.co/cWrnLG5m                           ,,_TEST_,,,,,,,
573, And the crowd goes wild for <e>Obama</e>!                           ,,_TEST_,,,,,,,
574, I don't care about politics. I just want <e>Obama</e> too win cause he's black.                           ,,_TEST_,,,,,,,
575, My calves are so sore... All for you Obama! #Tiptoes                           ,,_TEST_,,,,,,,
576, <e>president</e> <e>Obama</e> Helped Make the World a Safer  More Democratic & More American Friendly Place by Ending the Iraqi War. http://t.co/0XsXlrrn             ,,_TEST_,,,,,,,
577, Seeing and hearing <e>Obama</e> was pretty cool #OUOHYEAH                           ,,_TEST_,,,,,,,
578, There's an anti <e>Obama</e> thing going on outside my house. I wish I could throw things at these dumb ass people.                           ,,_TEST_,,,,,,,
579," ""@SheWantThaD: If <e>Obama</e> Loses   I Say We Move To Europe‰Û_ NIGGAS IN PARIS!""                         ",,_TEST_,,,,,,,
580, Obama-rama! Barack deserves a second term. He has more kudos and credibility than any US <e>president</e> in the last 10yrs...I.E George W Bush!                           ,,_TEST_,,,,,,,
581, People need to listen to <e>Obama</e>   not look at him ..that way his color can't influence them. They will then see his ideas are good for USA     ,,_TEST_,,,,,,,
582, This election may come down to people who love this country more than people hate <e>president</e> Obama! @OFA_FL @AdamSusaneck @50CaliberPistol                           ,,_TEST_,,,,,,,
583,"Can anyone who is a <e>Obama</e> supporter give me one , only one good reason why he should be the next president",,_TEST_,,,,,,,
584,Free Market economies are ran by the people and small companies so technically <e>Obama</e>'s investment will work better.,,_TEST_,,,,,,,
585,<e>Obama</e>'s stance on immigration &gt; WE'RE ALL IMMIGRANTS. The only real citizens are Native Americans.,,_TEST_,,,,,,,
586,"<e>Obama</e>'s mixed record on immigration: DREAM executive order, record deportations. #msnbc2012",,_TEST_,,,,,,,
587,I love how you can just are the anger in <e>Obama</e>'s eyes.,,_TEST_,,,,,,,
588,#debate <e>Obama</e> <a>deported</a> 1.4 million illegal immigrants since the beginning of his administration #debate2012,,_TEST_,,,,,,,
589,"Missing from <e>Obama</e>'s talk of rising exports in his admin: our No. 1 export last year was oil, gas, and related fuels.",,_TEST_,,,,,,,
590,I'm fair enough to know <e>Obama</e>'s performance was lack luster in the first debate so the Republicans need to be honest this time around,,_TEST_,,,,,,,
591, AP PHOTOS: #<e>obama</e> makes phone calls to <a>volunteers</a> at campaign office in Williamsburg Va. http://t.co/WFxnqFi4 #Election2012,,_TEST_,,,,,,,
592, no surprise....BREAKING: Tea Party extremist arrested in <a>shooting</a> at <e>obama</e> HQ in Denver http://t.co/63EM2HF0 â€¦,,_TEST_,,,,,,,
593, A Serious<a>Debate Prep</a> Session for <e>obama</e> http://t.co/RryUzPR9,,_TEST_,,,,,,,
594, @dsjj251 <e>obama</e> and everyone who has placed this <a>law</a> together has it designed so that a single source payer is the end game,,_TEST_,,,,,,,
595, @ken24xavier @DennisDMZ in Dallas just the opposite. <e>obama</e> sign gets approval from <a>Hunt Oil family</a>.  Just ahead of the curve.,,_TEST_,,,,,,,
596, What Did <a>Hillary</a> Tell <e>obama</e> on 9/11? : http://t.co/j6wtIKGn,,_TEST_,,,,,,,
597, RealClearPolitics Video - FOX News Reporting: Behind <e>obama</e>'s <a>Green Agenda</a> http://t.co/k4cz64zw,,_TEST_,,,,,,,
598, @heywebs The next step for my dream <the perfect life for the next child  in the future>is Barack <e>obama</e> president! Now and forever!,,_TEST_,,,,,,,
599, <e>obama</e> <a>Health Law</a> What It Says And How To Overturn It http://t.co/ERLASv58,,_TEST_,,,,,,,
600," New artwork for sale! - ""<e>obama</e><a>Caricature</a>"" - http://t.co/YQ8aiexX @fineartamerica http://t.co/Q4f1S8wc",,_TEST_,,,,,,,
601,<a> Bruce Springsteen</a> to join <e>obama</e> campaign trail http://t.co/6DgRwhby #nme,,_TEST_,,,,,,,
602, Oh the tedium of rock stars on the campaign trail ... â€œ@NMENewsFeed: <a>Bruce Springsteen</a> to join <e>obama</e> campaign trail http://t.co/oxubSLObâ€,,_TEST_,,,,,,,
603,Social Science Quarterly-The Chicago Clan: The Chiefs of Staff in the <e>obama</e> White House http://t.co/oPz4r8Rx,,_TEST_,,,,,,,
604, <e>obama</e>!!!,,_TEST_,,,,,,,
605, <e>obama</e>,,_TEST_,,,,,,,
606, Thiis made me <a>laugh out loud</a>- â€œ@realDonaldTrump: Who says <e>obama</e> will do better in the next debate- has he gotten smarter in 2 weeks!â€,,_TEST_,,,,,,,
607, YOUNG: <a>Low</a> <e>obama</e> <a>expectations</a> will save him - Washington Times: Washington TimesYOUNG: Low <e>obama</e> expectations wi... http://t.co/pofDMyPl,,_TEST_,,,,,,,
608, <e>obama</e>'s Prep Session Goal: Don't Repeat Mistakes of Last Debate - New York Times: New York Times<e>obama</e>'s P... http://t.co/e4KE1QKP #world,,_TEST_,,,,,,,
609, I Think Some People Fail To Realize <e>obama</e> Cant Fix Every Thing! He Can Only Do So Much!,,_TEST_,,,,,,,
610," â€œ@washdcnews: <e>obama</e> Says <a>Debate-Prep</a> ""Going Great""http://t.co/YmC8Eye5â€",,_TEST_,,,,,,,
611, I'm sad the <a>Texans</a> lost but it ain't like <e>obama</e> lost. That's when I would want to go hide under a rock. Lol!,,_TEST_,,,,,,,
612, snoop's reasons for voting for <e>obama</e> >>>>> lmao http://t.co/lPev8BJl,,_TEST_,,,,,,,
